,0,1
109,"Hello guys, how long does it take to deliver a shirt to London?",[0 0 0 1 0 0 0 0 0 0]
110,"Thanks a lot. Got a package and everything is great, the quality's above the sky!",[0 0 0 0 0 0 1 0 0 0]
111,Everythign is awesome! The book itself is interesting and breathtaking. The delivery didn't take long. 5 stars,[0 0 0 0 0 0 1 0 0 0]
112,Thanks a lot. I'm over the moon!,[0 0 0 0 0 0 1 0 0 0]
113,Is the new Wilson Evolution made of the rubber or leather?,[0 0 1 0 0 0 0 0 0 0]
114,Is the new Wilson Evolution worth it to buy for a beginner or I should get something else?,[0 0 0 0 0 0 0 0 0 1]
115,Is it OK to get a leather ball instead of rubber for a beginner?,[0 0 0 0 0 0 0 0 0 1]
116,May I pay with cash when I get the ball?,[0 0 0 0 0 0 0 1 0 0]
117,What are the paynments methods?,[0 0 0 0 0 0 0 1 0 0]
118,May I pay with a credit card?,[0 0 0 0 0 0 0 1 0 0]
119,May I pay with a Visa Card?,[0 0 0 0 0 0 0 1 0 0]
120,"Hi, may I call you up?",[0 1 0 0 0 0 0 0 0 0]
121,Is it free to call you?,[0 1 0 0 0 0 0 0 0 0]
122,What's the shop's email address?,[0 1 0 0 0 0 0 0 0 0]
123,"Hi, have you got the new Stephen King book 'It'?",[0 0 1 0 0 0 0 0 0 0]
124,Hello,[0 0 0 0 0 1 0 0 0 0]
125,Hi,[0 0 0 0 0 1 0 0 0 0]
126,What's up?,[0 0 0 0 0 1 0 0 0 0]
127,Hey,[0 0 0 0 0 1 0 0 0 0]
128,"Hi, what's the best book for a kid of this year?",[0 0 0 0 0 0 0 0 0 1]
129,"Hey, I'm looking for a job.",[1 0 0 0 0 0 0 0 0 0]
130,"Hi, have you got Stehen King The Institute in stock?",[0 0 1 0 0 0 0 0 0 0]
131,"Hey, one Peperoni and Chicago, please",[0 0 1 0 1 0 0 0 0 0]
132,"Whassup, five California and three spicy tuna role.",[0 0 1 0 1 0 0 0 0 0]
133,"Hi, I need your phone number",[0 1 0 0 0 0 0 0 0 0]
134,How you doin' guys? One California and Detroit please.,[0 0 1 0 1 0 0 0 0 0]
135,"Hi, may I see the menu, please?",[0 0 0 0 0 1 0 0 0 0]
136,"Hi guys, I'm looking for a job and I've got a diploma of a cook.",[1 0 0 0 0 0 0 0 0 0]
137,"Guys, you suck!",[1 0 0 0 0 0 0 0 0 0]
138,Do you accept Maestro Credit Cards?,[0 0 0 0 0 0 0 1 0 0]
139,May I get your phone number please?,[0 1 0 0 0 0 0 0 0 0]
140,"Hello, I wanna get the Naruto pens. How much for them?",[0 0 1 0 0 0 0 0 0 0]
141,What's the price of the new Moleskine Black Edition?,[0 0 1 0 0 0 0 0 0 0]
142,"Hi, do you have something for a musician?",[0 0 0 0 0 0 0 0 0 1]
143,"Hi, do you have M size for Versace shirt?",[0 0 1 0 0 0 0 0 0 0]
144,"Hey, what size is available for Armani shirt?",[0 0 1 0 0 0 0 0 0 0]
145,"Hi, what Armani clothes have u got really cheap?",[0 0 0 0 0 0 0 0 0 1]
146,"Hi, I need something for my girlfrind. She's already got IPhone 12. What about Watch?",[0 0 0 0 0 0 0 0 0 1]
147,What's the price of delivery to Europe?,[0 0 0 1 0 0 0 0 0 0]
148,"Hi, have you got any manager vacancy?",[1 0 0 0 0 0 0 0 0 0]
149,"The taste of California is mindblowing! I don't know what have you got there, but that sauce is awesome!",[0 0 0 0 0 0 1 0 0 0]
150,Why the hell did you put this vanilla sauce in this pizza? I didn't ask for that. I want my money back now!,[0 0 0 0 0 0 1 0 0 0]
151,Have you got Razer Deathadder in stock?,[0 0 1 0 0 0 0 0 0 0]
152,"Hi, I need a budget mouse for cs go. It doesn't have to freeze and break down in the middle of the game. The price range is 30-50$",[0 0 0 0 0 0 0 0 0 1]
153,Should I buy a good membrane keyboard or cheap mechanical one?,[0 0 0 0 0 0 0 0 0 1]
154,I'm still waiting for the delivery. How long do I have to wait,[0 0 0 1 0 0 0 0 0 0]
155,Does the delivery usually take a lot of time?,[0 0 0 1 0 0 0 0 0 0]
156,"Have many Putin card covers have you got, guys?",[0 0 1 0 0 0 0 0 0 0]
157,Do u deliver to Montgomery?,[0 0 0 1 0 0 0 0 0 0]
158,Do u deliver to Durham?,[0 0 0 1 0 0 0 0 0 0]
159,Do u deliver out of the NYC?,[0 0 0 1 0 0 0 0 0 0]
160,Is there any extra fee for delivering out of the NYC,[0 0 0 1 0 0 0 0 0 0]
161,"Hi, what's your number, please? I'm interested in Razer Cynosa",[0 0 1 0 0 0 0 0 0 0]
162,Have you got Razer Cynosa in stock?,[0 0 1 0 0 0 0 0 0 0]
163,Have you got a black gaming table 150x300?,[0 0 1 0 0 0 0 0 0 0]
164,"Hi, I need a black soft sofa. Have you got any?",[0 0 1 0 0 0 0 0 0 0]
165,"OK, is there ANY black table 150x300?",[0 0 1 0 0 0 0 0 0 0]
166,"Hi, I'm interested in HyperX mouse pad? How much do you want for it?",[0 0 1 0 0 0 0 0 0 0]
167,"Hi, may I please call you up?",[0 1 0 0 0 0 0 0 0 0]
168,"Hey, I need a phone for calls and texting.",[0 0 0 0 0 0 0 0 0 1]
169,"Hi, I need a small cellphone for my kid. A cheap one. ",[0 0 0 0 0 0 0 0 0 1]
170,"Where can I find you, guys? Have you got any store or something?",[0 1 0 0 0 0 0 0 0 0]
171,What's the problem with the delivery?,[0 0 0 1 0 0 0 0 0 0]
172,Can you ship it to Ukraine?,[0 0 0 1 0 0 0 0 0 0]
173,Can you ship it to Russia?,[0 0 0 1 0 0 0 0 0 0]
174,Is it possible to ship it to UK?,[0 0 0 1 0 0 0 0 0 0]
175,"Hi, are you interested in investing?",[1 0 0 0 0 0 0 0 0 0]
176,What are the ways to pay?,[0 0 0 0 0 0 0 1 0 0]
177,"Hi, I wanna buy IPhone 12. John Wick, 2302  Oral Lake Road, Minneapolis.",[0 0 1 0 1 0 0 1 0 0]
178,"Hi, 5 California and 3 Crunchy Rolls. 1338  Saint Francis Way, Brookfield, pay in cash.",[0 0 1 0 1 0 0 1 0 0]
179,What does California roll consist of?,[0 0 1 0 0 0 0 0 0 0]
180,What is in Califronia roll?,[0 0 1 0 0 0 0 0 0 0]
181,Should I buy Crunchy Roll if I'm allergic to tuna?,[1 0 1 0 0 0 0 0 0 0]
182,"Hey, do you need any shop assistants?",[1 0 0 0 0 0 0 0 0 0]
183,"Hi, the rolls were so awesome! My tongue almost blew up because of the amazing taste.The sauce was so sweet and tasty!",[0 0 0 0 0 0 1 0 0 0]
184,"Hi, I need a cheap IPhone. May I pay with cash?",[0 0 0 0 0 0 0 0 1 1]
185,What's the price of the used MrBeast merch?,[0 0 1 0 0 0 0 0 0 0]
186,"Hi, a quick review of what I received. I got a OnePlus 7 Pro, everything was well packed so it couldn't break down or somethingThe phone itself is awesome. I highly recommend the store!",[0 0 0 0 0 0 1 0 0 0]
187,"Hey, got the rolls. Thanks, they're absolutely delicious.",[0 0 0 0 0 0 1 0 0 0]
188,"Hi, I've never read either the Lord of the Rings or Harry Potter. What should I get?",[0 0 0 0 0 0 0 0 0 1]
189,"Hi, if I order a book today, when will you ship it?",[0 0 0 1 0 0 0 0 0 0]
190,"Hey, do you have a white office chair?",[0 0 1 0 0 0 0 0 0 0]
191,"Hello, do you need a desinger for your store?",[1 0 0 0 0 0 0 0 0 0]
192,What is the most interesting book from the new ones?,[1 0 0 0 0 0 0 0 0 0]
193,How much for the Institute of Stephen King?,[0 0 1 0 0 0 0 0 0 0]
194,How much do you want for Dale Carnegie How to Win Friends and Influence People?,[0 0 1 0 0 0 0 0 0 0]
195,Are there any Christmas discounts?,[0 0 0 0 0 1 0 0 0 0]
196,"Hi, do you have a veteran discount?",[0 0 0 0 0 1 0 0 0 0]
197,Is there discount if I buy a couple of clothes?,[0 0 0 0 0 1 0 0 0 0]
198,"Hi, have you got a store in NYC?",[0 1 0 0 0 0 0 0 0 0]
199,Should I buy Deathadder V2 or Viper?,[0 0 1 0 0 0 0 0 0 0]
200,My son's going to school. Do you have any shoes size 9.,[0 0 0 0 0 0 0 0 0 1]
201,My daughter is going to the university. I need nice comfortable shoes.,[0 0 0 0 0 0 0 0 0 1]
202,"Hi, how many cores does IPhone's processor have?",[0 0 1 0 0 0 0 0 0 0]
203,"Hey, i need a phone for my parent asap. It has to be cheap and fast.",[0 0 0 0 0 0 0 0 0 1]
204,"Hi, what's the phone number?",[0 1 0 0 0 0 0 0 0 0]
205,I need a red dress for a party. Do you have one?,[0 0 0 0 0 0 0 0 0 1]
206,Do u deliver to Russia? How much time is it gonna take?,[0 0 0 1 0 0 0 0 0 0]
207,"Okay, then here is my address: 1887  Philadelphia Avenue, Brian C Vasquez. Cash.",[0 0 0 0 1 0 0 1 0 0]
208,"Hey, I wanna get the new Gucci dress 2652. My address: 1086  Upton Avenue, 	Bobby M Bukowski. Card.",[0 0 1 0 1 0 0 0 1 0]
209,"Hi, do you still have that salvaged Model S 2016?",[0 0 1 0 0 0 0 0 0 0]
210,"Okay, let's deliver it to 2733  Golden Ridge Road, Schenectady, Kevin C Perez",[0 0 0 0 1 0 0 0 1 0]
211,"Hi, what are the methods to checkout?",[0 0 0 0 0 0 0 1 0 0]
212,"Hi, I need IPhone 10 for 512 gb Black",[0 0 1 0 0 0 0 0 0 0]
213,"Whassup guys, one pair Converse 70 Low yellow. Address: Judith J Knight,Michigan, 884  D Street",[0 0 1 0 1 0 0 0 0 0]
214,What's the price of FENTY BEAUTY by Rihanna Match Stix Trio,[0 0 1 0 0 0 0 0 0 0]
215,"Hey, do you have something for my 7-year old daughter?",[0 0 0 0 0 0 0 0 0 1]
216,"Hi, what's the size of those Adidas Yeezy limited green?",[0 0 1 0 0 0 0 0 0 0]
217,"Hey, are they soft?",[1 0 0 0 0 0 0 0 0 0]
218,Do you have 9 size Converse Taylor All Star Mono High-Top?,[0 0 1 0 0 0 0 0 0 0]
219,"Hi, 9 size Converse Taylor All Star Mono High-Top. Address: 	Judith J Knight,Michigan, 884  D Street",[0 0 1 0 1 0 0 0 0 0]
220,"Hi, they're so soft and sweet! Thank you so much for that!",[0 0 0 0 0 0 1 0 0 0]
221,"Hi, Idk if they have to be that way, but they're so awesome for their price. It's only 200$ and that's relatively cheap price! So greateful that bought them here.",[0 0 0 0 0 0 1 0 0 0]
222,What are the best budget keyboard that you have?,[0 0 0 0 0 0 0 0 0 1]
223,What is the Trust 25652e gamepad made of?,[0 0 1 0 0 0 0 0 0 0]
224,"Okay, my address is: 4460  Centennial Farm Road, MONTAGUE, Massachusetts, David N Cadet",[0 0 0 0 1 0 0 0 0 0]
225,"Alright, my address is: 1034  John Calvin Drive, Chicago, IL, 60606, 708-896-8588",[0 0 0 0 1 0 0 0 0 0]
226,"Okay, then get it to: 1761  Wildrose Lane, Detroit, Michigan, 48226, 313-805-3148, 	Jason C Clark",[0 0 0 0 1 0 0 0 0 0]
227,What is the size of Wilson Evolution?,[0 0 1 0 0 0 0 0 0 0]
228,What about the payment methods?,[0 0 0 0 0 0 0 1 0 0]
229,Have you got a cheap leather ball?,[0 0 1 0 0 0 0 0 0 0]
230,"Oh, fuck, that ball is so cool. It bounces really well and I dunk all the time. It grips really well and seems it won't wear off in the future. Highly recommend!",[0 0 0 0 0 0 1 0 0 0]
231,I'm looking for a ball for my kid. What would you recommend?,[0 0 0 0 0 0 0 0 0 1]
232,"What the hell man? Why do I receive the package only two weeks after? This was the worst experience ever",[0 0 0 0 0 0 1 0 0 0]
233,"Hi. I'm an Instagram Designer and I'm able to increase your profit from 50% to 80%. Learn more here: http://example.com/aunt/bee",[1 0 0 0 0 0 0 0 0 0]
234,"Hey, I have a question about Toyota Camry 2018 3.5 L 200 horse power. Does it start up? Has it been maintained? Have you changed oils, break liquids and stuff?", [0 0 1 0 0 0 0 0 0 0]
235,"Hi, I looked at your shop and I definitely can say I can bring 50% more profit for you. Text me here: ", [1 0 0 0 0 0 0 0 0 0]
236,"Hi, does the discount 1+1 still work?", [1 0 0 0 0 0 0 0 0 0]
237,"Hi, I want to order one big Peperoni and one small Chicago please", [0 0 0 0 1 0 0 0 0 0]
238,"Whassup, one small cheeseburger and small fries", [0 0 0 0 1 0 0 0 0 0]
239,"Are these shoes unisex? https://www.instagram.com/ ", [0 0 1 0 0 0 0 0 0 0]
240,"Hey, we are a delivery company based in London and we would be very glad to cooperate with you. Things we offer: fast delivery for about 1 day around the UK, small price. We are still growing and we would like to see you work with us.", [1 0 0 0 0 0 0 0 0 0]
241,"Hey, do you have craft beer in stock?",[0 0 1 0 0 0 0 0 0 0]
242,"Okay, then deliver it please to Canada, T4N 2A6,  Alberta, Red Deer, 2334 Galts Ave", [0 0 0 0 1 0 0 0 0 0]
243,"Do you have an international delivery service? Do you deliver to Ukraine?", [0 0 0 1 0 0 0 0 0 0]
244,"Is your makeup fully organic?", [1 0 0 0 0 0 0 0 0 0]
245,"Do you have any discounts for new clients?",[1 0 0 0 0 0 0 0 0 0]
246,"Will you have a sale soon?", [1 0 0 0 0 0 0 0 0 0]
247,"Oh my god! It's hilarious how your employees treated me that day! But anyway the product is awesome and I highly recommend anyone else to try it",[0 0 0 0 0 0 1 0 0 0]
248,"Hi there, can you pack the product for a gift if I buy it",[1 0 0 0 0 0 0 0 0 0]
249,"Hey, I would like to buy your products in bulk. Is that possible at the moment?",[1 0 0 0 0 0 0 0 0 0]
250,"Hi, I've ordered pizza Chicago a week ago and I would like to say that it was the best pizza I've ever tried in my life! It's gorgeous and delicious as hell. I have no idea how these guys are doing it!",[0 0 0 0 0 0 1 0 0 0]
251,"Hey, could you please tell me which phone is better?",[0 0 0 0 0 0 0 0 0 1]
252,"Hey, i would like to buy Versacci shirt.",[0 0 0 0 1 0 0 0 0 0]
253,"Do you have anything for diabetic?",[0 0 1 0 0 0 0 0 0 1]
254,"Hey, i would like to get Versacci shirt.",[0 0 0 0 1 0 0 0 0 0]
255,What does this mean? What is going on?,[1 0 0 0 0 0 0 0 0 0]
